commonname,lengthM,weight,age,sex,date,country,habitat,conservation
Morelet's Crocodile,1.9,62.0,Adult,Male,31-03-2018,Belize,Swamps,Least Concern
American Crocodile,4.09,334.5,Adult,Male,28-01-2015,Venezuela,Mangroves,Vulnerable
Orinoco Crocodile,1.08,118.2,Juvenile,Unknown,07-12-2010,Venezuela,Flooded Savannas,Critically Endangered
Morelet's Crocodile,2.42,90.4,Adult,Male,01-11-2019,Mexico,Rivers,Least Concern
Mugger Crocodile (Marsh Crocodile),3.75,269.4,Adult,Unknown,15-07-2019,India,Rivers,Vulnerable
Mugger Crocodile (Marsh Crocodile),2.64,137.4,Adult,Male,08-06-2023,India,Reservoirs,Vulnerable
Siamese Crocodile,2.85,157.7,Subadult,Male,10-12-2010,Thailand,Slow Rivers,Critically Endangered
Congo Dwarf Crocodile,0.35,4.7,Juvenile,Unknown,03-08-2008,Central African Rep.,Forest Swamps,Data Deficient
West African Crocodile,3.05,201.2,Adult,Male,16-04-2020,Sudan,Lakes,Least Concern
Morelet's Crocodile,3.39,197.2,Adult,Male,21-05-2016,Mexico,Lagoons,Least Concern
West African Dwarf Crocodile,1.22,15.8,Adult,Male,08-06-2018,Liberia,Small Streams,Vulnerable
Morelet's Crocodile,1.84,60.7,Adult,Male,19-10-2019,Belize,Lagoons,Least Concern
Siamese Crocodile,2.63,121.3,Subadult,Unknown,16-02-2015,Cambodia,Slow Rivers,Critically Endangered
American Crocodile,3.65,217.7,Adult,Male,07-07-2006,Mexico,Mangroves,Vulnerable
West African Dwarf Crocodile,1.32,19.2,Adult,Female,14-06-2010,Côte d'Ivoire,Small Streams,Vulnerable
Morelet's Crocodile,2.0,67.9,Adult,Unknown,18-03-2007,Mexico,Rivers,Least Concern
Morelet's Crocodile,1.98,61.5,Juvenile,Unknown,14-03-2007,Mexico,Lagoons,Least Concern
Nile Crocodile,4.37,565.0,Adult,Female,13-10-2025,Sudan,Reservoirs,Least Concern
Borneo Crocodile (disputed),1.07,31.1,Juvenile,Unknown,28-02-2017,Indonesia,Estuarine Systems,Data Deficient
Saltwater Crocodile,1.55,350.9,Juvenile,Male,26-12-2017,Philippines,Estuaries,Least Concern
Borneo Crocodile (disputed),2.52,89.6,Subadult,Unknown,24-09-2011,Malaysia,Estuarine Systems,Data Deficient
Nile Crocodile,4.65,759.8,Adult,Male,16-04-2013,Tanzania,Lakes,Least Concern
Congo Dwarf Crocodile,1.77,36.0,Adult,Male,07-12-2010,Dem. Rep. Congo,Forest Swamps,Data Deficient
Cuban Crocodile,2.44,107.9,Subadult,Male,27-01-2007,Cuba,Swamps,Critically Endangered
Nile Crocodile,3.18,342.1,Juvenile,Male,28-03-2017,Kenya,Marshes,Least Concern
Cuban Crocodile,0.34,42.4,Hatchling,Unknown,23-04-2007,Cuba,Swamps,Critically Endangered
Mugger Crocodile (Marsh Crocodile),3.39,174.9,Adult,Female,20-07-2022,Pakistan,Rivers,Vulnerable
Orinoco Crocodile,3.94,367.9,Subadult,Male,21-10-2019,Venezuela,Flooded Savannas,Critically Endangered
Siamese Crocodile,3.22,196.6,Adult,Unknown,05-06-2012,Cambodia,Slow Rivers,Critically Endangered
Orinoco Crocodile,4.71,576.6,Adult,Female,07-08-2018,Venezuela,Flooded Savannas,Critically Endangered
Siamese Crocodile,2.04,80.2,Adult,Unknown,16-01-2020,Thailand,Swamps,Critically Endangered
American Crocodile,4.11,324.4,Adult,Female,10-01-2014,United States of America,Mangroves,Vulnerable
Cuban Crocodile,2.42,85.6,Adult,Female,16-04-2017,Cuba,Swamps,Critically Endangered
Philippine Crocodile,1.01,28.9,Juvenile,Unknown,22-10-2008,Philippines,Rivers,Critically Endangered
New Guinea Crocodile,0.76,36.7,Juvenile,Unknown,23-01-2024,Papua New Guinea,Swamps,Least Concern
Philippine Crocodile,2.26,84.2,Adult,Male,17-06-2022,Philippines,Freshwater Marshes,Critically Endangered
